name;url;logo;beschreibung;
Deutsche Capri Seiten;;                                              images/thn_links/flag_germany.jpg;;
Carsten´s Capri Homepage;http://www.fordcapri.de/;                   images/thn_links/thn_carsten.jpg;letzte Änderung 2009;
Caprihome - Das Capri Forum ;https://caprihome.de/;                  images/thn_links/thn_caprihome.jpg;Forum;
Capri Club Colonia ;https://www.capriclubcolonia.de/start.htm;       images/thn_links/thn_colonia.jpg;;
Capri-Club-Deutschland ;https://www.capri-club-deutschland.de/;      images/thn_links/ccd.jpg;;
Capri Freunde-Dülmen;https://www.facebook.com/CFD89/;                images/thn_links/thn_duelmen.jpg;facebook;
Capri-Freunde-Koblenz ;http://www.caprifreundekoblenz.de/;            ;letzte Änderung 2018;
Capri Team Minden ;https://www.capriteamminden.de/;                   ;;
Capri Club Märkischer Kreis;https://capri-club-maerkischer-kreis.hier-im-netz.de/index2.html;;letzte Änderung 2015;
Capri RS Club Nürnberg ;http://www.capri-klick.de/;                 images/thn_links/thn_rsnuernberg.jpg;letzte Änderung 2010;
Capri - IG - Oberhessen ;https://www.capri-ig-oberhessen.de/;         ;letzte Änderung 2019;
Piper's Capri Page;http://www.capripage.de/start.html;                ;letzte Änderung 2006;
Capri-Post ;https://www.capripost.de/;                                ;top aktuell;
Capri Club Remscheid ;https://www.facebook.com/capriclubremscheid?fref=ts;;facebook;
Capri-Freunde-Sachsen ;https://www.caprifreunde-sachsen.de/;          ;;
Capri-Club-Saarland;http://www.capri-club-saarland.de/;             images/thn_links/thn_saarland.jpg ;nicht mehr aktuell;
Capri-Spezial;https://www.capri-spezial.de/;                        images/thn_links/thn_capri_spezial.jpg;Forum ;
Capri-Freunde-Wiesbaden;https://capri-freunde-wiesbaden.de/;        images/thn_links/thn_wiesbaden.jpg;offline seit 2019;
Locke's Homepage;http://www.svenl.de/index.html;                    images/thn_links/thn_locke.jpg ;letzte Änderung 2010;
Werksturbo-Register;http://www.werksturbo.de/;                      images/thn_links/thn_werksturbo.jpg;Register aller bekannten Werksturbos und mehr;
* Belgische Capri-Seiten;;                                          images/thn_links/flag_belgien.jpg;;
Capri Drivers Club Belgien;http://www.capridrivers.be/;             images/thn_links/thn_driver_belgien.jpg;;
Capri Team Belgium (Web);https://www.capriteambelgium.be/;          images/thn_links/thn_capriteam_belgien.jpg;;
* Britische Capri-Seiten;;                                          images/thn_links/flag_uk.jpg;;
Capri Club Mansfield / Notts.B.;http://www.capriclub2000.co.uk/;    images/thn_links/thn_mansfield.jpg;;
capri280 Group;https://capri280.co.uk/;                             images/thn_links/thn_capri280.jpg;;
* Niederländische Capri-Seiten;;                                    images/thn_links/flag_niederland.jpg;;
Ford Capri Club Nederland ;https://www.fordcapriclubnederland.nl/;  images/thn_links/thn_nederland.jpg;;
Capri Club Noord Holland ;https://www.fordcapriclubnoordholland.nl/;images/thn_links/thn_noorholland.jpg;;
Capri Club Zuid Holland ;https://www.capriclubzuidholland.nl/;      images/thn_links/thn_zuidholland.jpg;;
* Schweizer Capri-Seiten:;;                                         images/thn_links/flag_schweiz.jpg;;
Capri Schweiz;https://www.ford-capri.ch/;                           images/thn_links/thn_caprischweiz.jpg;immer top aktuell;
Capri Club Schweiz;https://www.capriclubschweiz.ch;                 images/thn_links/thn_capriclubschweiz.jpg;;
Weitere internationale Capri-Seiten:;;                              images/thn_links/flag_int.jpg;;
Capri Clan Bohemia;https://www.facebook.com/profile.php?id=100057262307599;images/thn_links/thn_bohemia.jpg;facebook;
Capri Frenn Letzeburg;https://www.caprilux.eu/;                     images/thn_links/thn_letzeburg.jpg;;
Capri Club Norwegen;https://www.capriclubnorge.no/;                 images/thn_links/thn_norwegen.jpg;;
Capri Club North America;https://www.capriclub.com/;                images/thn_links/thn_nordamerika.jpg;;
