name;url;logo;beschreibung;
Deutsche Capri Seiten;;images/thn_links/flag_germany.jpg;;
Carsten´s Capri Homepage;http://www.fordcapri.de/;;letzte Änderung 2009;
Caprihome - Das Capri Forum ;https://caprihome.de/;images/thn_links/thn_caprihome.jpg;;
Capri Club Colonia ;https://www.capriclubcolonia.de/start.htm;images/thn_links/thn_colonia.jpg;;
Capri-Club-Deutschland ;https://www.capri-club-deutschland.de/;images/thn_links/ccd.jpg;;
Capri Freunde-Dülmen;https://www.facebook.com/CFD89/;images/thn_links/thn_duelmen.jpg;facebook;
Capri-Freunde-Koblenz ;http://www.caprifreundekoblenz.de/;;;
Capri Team Minden ;https://www.capriteamminden.de/;;;
Capri RS Club Nürnberg ;http://www.capri-klick.de/;images/thn_links/thn_rsnuernberg.jpg;;
Capri - IG - Oberhessen ;https://www.capri-ig-oberhessen.de/;;;
Piper's Capri Page;http://www.capripage.de/start.html;;letzte Änderung 2006;
Capri-Post ;https://www.capripost.de/;;;
Capri Club Remscheid ;https://www.facebook.com/capriclubremscheid?fref=ts;;;
Capri-Freunde-Sachsen ;https://www.caprifreunde-sachsen.de/;;;
Capri-Spezial;https://www.capri-spezial.de/;images/thn_links/thn_capri_spezial.jpg;Forum ;
Capri-Freunde-Wiesbaden;https://capri-freunde-wiesbaden.de/;;offline seit 2019;
Locke's Homepage;http://www.svenl.de/index.html;;letzte Änderung 2010;
* Belgische Capri-Seiten;;images/thn_links/flag_belgien.jpg;;
Capri Drivers Club Belgien;http://www.capridrivers.be/;;;
Capri Team Belgium (Web);https://www.capriteambelgium.be/;;;
Capri Team Belgium (Facebook);no;;;
* Britische Capri-Seiten;;images/thn_links/flag_uk.jpg;;
Capri Club Mansfield / Notts.B.;http://www.capriclub2000.co.uk/;;;
Capri Homepage;;;;
capri280 Group;https://capri280.co.uk/;;;
* Niederländische Capri-Seiten;;images/thn_links/flag_niederland.jpg;;
Ford Capri Club Nederland ;https://www.fordcapriclubnederland.nl/;;;
Capri Club Noord Holland ;https://www.fordcapriclubnoordholland.nl/;;;
Capri Club Zuid Holland ;https://www.capriclubzuidholland.nl/;;;
* Schweizer Capri-Seiten:;;images/thn_links/flag_schweiz.jpg;;
;;;;
Weitere internationale Capri-Seiten:;;;;
Capri Club North America;https://www.capriclub.com/;;;
